Title,Author(s),First Published Year,ISBN-10,ISBN-13,Publisher,Language
Captain Underpants and the Invasion of the Incredibly Naughty Cafeteria Ladies from Outer Space,Dav Pilkey,1999,N/A,N/A,N/A,"chi, ger, eng, spa, por, heb, ita, cat, fre"
Understanding Media,"Marshall McLuhan, Marshal McLuhan",1964,N/A,N/A,N/A,"nor, eng, ita, fre, spa, und"
The Emerald City of Oz,L. Frank Baum,1910,N/A,N/A,N/A,eng
State of Fear,Michael Crichton,2004,N/A,N/A,N/A,"eng, ger, fre, spa, chi"
"The Stars, Like Dust","Isaac Asimov, Stephen Thorne",1951,N/A,N/A,N/A,"tur, eng, ger, ita, fre, chi"
One Shot,Lee Child,2005,N/A,N/A,N/A,"pol, dut, eng, spa, fre, ita"
Out of the Silent Planet,C.S. Lewis,1938,N/A,N/A,N/A,"pol, eng"
The Poison Belt,Arthur Conan Doyle,1913,N/A,N/A,N/A,"fin, eng"
Pyramids,Terry Pratchett,1989,N/A,N/A,N/A,"dut, spa, ger, eng, tur, rus, pol, fre, cze"
Song of Susannah,Stephen King,1999,N/A,N/A,N/A,"rus, ger, pol, ita, eng, dut, spa, chi"
Interesting Times,Terry Pratchett,1994,N/A,N/A,N/A,"eng, ger, cze, spa, pol, rus"
Player Piano,Kurt Vonnegut,1952,N/A,N/A,N/A,"rus, eng, ger"
Dragonfly in Amber,Diana Gabaldon,1992,N/A,N/A,N/A,"fre, spa, ger, pol, heb, eng"
The Currents of Space,Isaac Asimov,1952,N/A,N/A,N/A,"tur, eng, ger, ita, fre, chi, per"
Divergent,Veronica Roth,2010,N/A,N/A,N/A,"eng, por"
"Thuvia, Maid of Mars","Edgar Rice Burroughs, Craig Trahan, Eric King, J. Allen St. John",1916,N/A,N/A,N/A,eng
The Forever War,Joe Haldeman,1974,N/A,N/A,N/A,"spa, eng, fre, ger"
At The Earth's Core And Out Of Time's Abyss,Edgar Rice Burroughs,1914,N/A,N/A,N/A,eng
Prelude to Foundation,Isaac Asimov,1988,N/A,N/A,N/A,"ita, fre, spa, ger, eng"
Pebble in the Sky,Isaac Asimov,1950,N/A,N/A,N/A,"chi, por, ger, fre, eng, ita"
The Book Of Three,"Alexander, Lloyd Alexander",1964,N/A,N/A,N/A,"und, eng, pol"
Duma Key,Stephen King,2008,N/A,N/A,N/A,"dut, eng, ger, fre, spa, chi, pol"
The Robots of Dawn,Isaac Asimov,1983,N/A,N/A,N/A,"ita, gre, eng, fre, ger, tur, rus, spa"
Snow Crash,Neal Stephenson,1992,N/A,N/A,N/A,"ger, ita, eng, fre, spa, por"
The Scarlet Plague,Jack London,1910,N/A,N/A,N/A,"fin, swe, spa, fre, eng"
Forward the Foundation,Isaac Asimov,1993,N/A,N/A,N/A,"ita, fre, rus, spa, ger, eng"
Sabriel,Garth Nix,1995,N/A,N/A,N/A,"fre, ita, eng, pol, spa"
"2010, odyssey two",Arthur C. Clarke,1982,N/A,N/A,N/A,"spa, ita, eng, fre"
A Wind in the Door (Time Quintet #2,Madeleine L'Engle,1973,N/A,N/A,N/A,"ger, heb, eng"
Gravity's Rainbow,Thomas Pynchon,1973,N/A,N/A,N/A,"ger, fre, eng, spa"
A Feast for Crows,George R. R. Martin,2005,N/A,N/A,N/A,"ger, pol, ita, eng, fin, spa, por"
The Queen of the Damned,Anne Rice,1988,N/A,N/A,N/A,"ita, ger, spa, fre, eng"
Fight Club,"Chuck Palahniuk, James Colby, Javier Calvo Perales, Jordi Cussà Balaguer",1996,N/A,N/A,N/A,"cat, eng, spa, chi, ita, fre, heb"
Ready Player One,"Ernest Cline, Arnaud Regnauld, Ernest Cline",2008,N/A,N/A,N/A,"ger, eng, lit, cat, spa, heb, srp, por"
The selfish gene,"Richard Dawkins, Lalla Ward Richard Dawkins",1976,N/A,N/A,N/A,"ger, pol, tur, ara, eng, dut, fre, kor, spa"
The Curious Case of Benjamin Button,F. Scott Fitzgerald,2007,N/A,N/A,N/A,"por, eng, chi, spa"
The House on the Borderland,William Hope Hodgson,1946,N/A,N/A,N/A,"spa, eng"
The Lathe of Heaven,Ursula K. Le Guin,1971,N/A,N/A,N/A,"spa, chi, tur, heb, fre, eng, pol, por"
The Running Man,Stephen King,1982,N/A,N/A,N/A,"dut, eng, ger, fre, spa, ara, pol"
Insurgent,"Veronica Roth, Gemme",2011,N/A,N/A,N/A,"eng, spa"
The Children of Men,P. D. James,1992,N/A,N/A,N/A,"eng, rum, ger, ita, fre, spa, pol"
The Word for World is Forest,Ursula K. Le Guin,1972,N/A,N/A,N/A,"eng, spa, ger, ita, fre, heb, tur"
Feet of Clay,Terry Pratchett,1996,N/A,N/A,N/A,"spa, ita, ger, eng, chi, rus, pol, fre, cze"
Speaker for the Dead,Orson Scott Card,1986,N/A,N/A,N/A,"eng, fre, spa, chi, pol"
The White Dragon,Anne McCaffrey,1978,N/A,N/A,N/A,"ger, ita, eng, dut, fre"
Xenocide,Orson Scott Card,1991,N/A,N/A,N/A,"spa, eng, fre"
Государство и революция,Vladimir Il’ich Lenin,1900,N/A,N/A,N/A,"bul, jpn, eng, ukr, ger, ita, fre, por, pan, spa, yid, tel, chi, rus"
In the days of the comet,H. G. Wells,1906,N/A,N/A,N/A,"eng, fre"
The Chrysalids,John Wyndham,1955,N/A,N/A,N/A,"eng, spa, por"
The Princess and the Goblin,George MacDonald,1907,N/A,N/A,N/A,"ger, eng, chi"
The fire next time,James Baldwin,1962,N/A,N/A,N/A,"pol, ger, eng, fre"
God Emperor of Dune,"Frank Herbert, Simon Vance, Scott Brick, Katherine Kellgren, Guy Abadia",1981,N/A,N/A,N/A,"eng, ger, fre, spa, pol"
Before Adam,Jack London,1906,N/A,N/A,N/A,"spa, dut, yid, eng, swe, fin, dan"
Nightmares & Dreamscapes,Stephen King,1993,N/A,N/A,N/A,"eng, fre, spa, pol, rus"
Cloud Atlas,David Mitchell,2004,N/A,N/A,N/A,"und, rus, eng, ger"
Stay Out of the Basement,Robert Lawrence Stine,1992,N/A,N/A,N/A,"gre, ger, eng, fre, spa, chi, por"
"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,2001,N/A,N/A,N/A,"spa, eng, chi"
Il barone rampante,Italo Calvino,1957,N/A,N/A,N/A,"fre, und, eng, spa, por, ita, ger"
The New Machiavelli,H. G. Wells,1900,N/A,N/A,N/A,"und, eng, spa"
Bad Luck and Trouble,Lee Child,1984,N/A,N/A,N/A,"eng, rum, ita, heb, chi, pol"
Red Mars,"Kim Stanley Robinson, Manuel Figueroa",1992,N/A,N/A,N/A,"spa, fre, chi, eng, und, ita"
Captain Underpants and the Perilous Plot of Professor Poopypants,Dav Pilkey,2000,N/A,N/A,N/A,"eng, fre, cat, spa, chi"
三体,刘慈欣,2008,N/A,N/A,N/A,"est, jpn, pol, eng, ger, fre, spa, ita, por, chi, tur"
Alanna,Tamora Pierce,1954,N/A,N/A,N/A,"fre, eng, ita, ger"
The City of Ember (The First Book of Ember),Jeanne DuPrau,1998,N/A,N/A,N/A,"pol, tur, eng, fre, spa"
Bleach,Tite Kubo,2004,N/A,N/A,N/A,eng
Dragonsong,Anne McCaffrey,1976,N/A,N/A,N/A,"por, fre, eng"
Perelandra,C.S. Lewis,1943,N/A,N/A,N/A,"spa, pol, eng"
Gathering Blue,Lois Lowry,2000,N/A,N/A,N/A,"ger, pol, eng, fre, spa"
Nova Atlantis,Francis Bacon,1627,N/A,N/A,N/A,"und, rus, ger, ita, eng, fre, spa"
The three stigmata of Palmer Eldritch,"Philip K. Dick, Luke Daniels",1965,N/A,N/A,N/A,"eng, ger, fre, por, spa"
Cryptonomicon,Neal Stephenson,1999,N/A,N/A,N/A,"spa, fre, eng, ger"
Salammbô,Gustave Flaubert,1863,N/A,N/A,N/A,"fre, ita, cze, rus, dut, spa, ger, heb, eng"
Dirk Gently’s Holistic Detective Agency,Douglas Adams,1987,N/A,N/A,N/A,"ger, fre, spa, ita, eng"
Stranger in a Strange Land,Robert A. Heinlein,1961,N/A,N/A,N/A,"ger, eng, fre, spa, swe, heb"
Jingo,Terry Pratchett,1996,N/A,N/A,N/A,"spa, ger, eng, chi, pol, fre, cze"
The fountains of paradise,Arthur C. Clarke,1978,N/A,N/A,N/A,"eng, fre"
The Cyberiad,Stanisław Lem,1965,N/A,N/A,N/A,"ger, pol, eng, fre, spa"
Time Traveler's Wife,"Audrey Niffenegger, William Hope, Laurel Lefkow",2003,N/A,N/A,N/A,"eng, ger, ita, spa, chi, rus"
Allegiant,Veronica Roth,2001,N/A,N/A,N/A,"tur, eng, fre, spa, chi"
Captain Underpants and the Preposterous Plight of the Purple Potty People,Dav Pilkey,2006,N/A,N/A,N/A,"spa, cat, pol, eng"
The Fires of Heaven,Robert Jordan,1993,N/A,N/A,N/A,eng
The Last Unicorn,Peter S. Beagle,1968,N/A,N/A,N/A,"eng, spa"
Crossroads of Twilight,Robert Jordan,1995,N/A,N/A,N/A,"ger, eng, spa, rus"
The Long Dark Tea-Time of the Soul,Douglas Adams,1988,N/A,N/A,N/A,"spa, fre, ger, eng"
Naruto 5,"Masashi Kishimoto, Frances Wall",2003,N/A,N/A,N/A,eng
V for Vendetta,"Alan Moore, David Lloyd, Lloyd, David",1988,N/A,N/A,N/A,"fre, ita, por, eng"
Star Wars - Thrawn Trilogy - Heir to the Empire,Timothy Zahn,1991,N/A,N/A,N/A,"ger, und, eng, spa"
Une si longue lettre,Mariama Bâ,1980,N/A,N/A,N/A,"ita, ger, swa, tur, spa, fre, eng, wol"
The Wind's Twelve Quarters,Ursula K. Le Guin,1975,N/A,N/A,N/A,"eng, ger, tur, spa, cat"
Have Spacesuit--Will Travel,Robert A. Heinlein,1958,N/A,N/A,N/A,eng
Metro 2033,"Dmitry Glukhovsky, Ldp, Dmitri Glukhovsky, Glukhovskii D., Gluhovskij Dmitrij, Dmitrij A. Gluchovskij, Dmitry Glukhovsky, Dimitry Glukhovsky, DMITRIJ GLUHOVSKI, Joan Josep Mussarra Roca",2007,N/A,N/A,N/A,"dut, eng, ger, rus, pol, ita, fre"
The Hard Way,Lee Child,2006,N/A,N/A,N/A,"dut, eng, pol, dan"
A history of New York,Washington Irving,1800,N/A,N/A,N/A,"ger, fre, eng"
All the President's Men,"Carl Bernstein, Bob Woodward",1974,N/A,N/A,N/A,"eng, chi, spa"
Island,Aldous Huxley,1962,N/A,N/A,N/A,"eng, ger"
Heretics of Dune,Frank Herbert,1984,N/A,N/A,N/A,"eng, ger, fre, spa, pol, rus"
Ender's Shadow,Orson Scott Card,1999,N/A,N/A,N/A,"rus, eng, spa, fre"
2061,Arthur C. Clarke,1987,N/A,N/A,N/A,"fre, jpn, ita, kor, eng, spa"
The Angel Experiment,"James Patterson, Copyright Paperback Collection (Library of Congress) Staff",2001,N/A,N/A,N/A,"eng, chi"
Six of Crows,Leigh Bardugo,2001,N/A,N/A,N/A,"eng, ger"
Chapterhouse Dune,"Frank Herbert, Scott Brick, Jane Carr, Katherine Kellgren, Euan Morton",1985,N/A,N/A,N/A,"fre, spa, ger, pol, eng"
Messenger (The Giver #3),"Lois Lowry, David Morse, Fikret Topalli",2004,N/A,N/A,N/A,"eng, pol, spa, chi"
The Mote in God's Eye,"Larry Niven, Jerry Pournelle, L.J. Ganser",1974,N/A,N/A,N/A,"eng, fre, spa"
Artemis,Andy Weir,2017,N/A,N/A,N/A,"ger, ita, eng, spa, por"
The Sirens of Titan,Kurt Vonnegut,1959,N/A,N/A,N/A,"eng, spa"
Inuyasha,Rumiko Takahashi,1998,N/A,N/A,N/A,"spa, eng, chi"
Thief of Time,Terry Pratchett,2001,N/A,N/A,N/A,"dut, eng, ger, fre, spa, wel"
Ultimate Spider-Man,"Brian Michael Bendis, Mark Bagley, Marvel Comics, Trevor Hairsine, Joe Quesada, Andy Kubert, Danny Miki, Stuart Immonen",2001,N/A,N/A,N/A,eng
Last and First Men,Olaf Stapledon,1930,N/A,N/A,N/A,eng
Earth abides,George Rippey Stewart,1949,N/A,N/A,N/A,"rus, eng"
At First Sight,Nicholas Sparks,2001,N/A,N/A,N/A,"ita, eng, spa"
Tunnel in the sky,Robert A. Heinlein,1955,N/A,N/A,N/A,"heb, und, eng"
A strange manuscript found in a copper cylinder,James De Mille,1888,N/A,N/A,N/A,eng
The Invisible Life of Addie LaRue,V. E. Schwab,2015,N/A,N/A,N/A,eng
Mother Night,Kurt Vonnegut,1961,N/A,N/A,N/A,"chi, rus, ita, eng"
Green Mars,"Kim Stanley Robinson, Ana Quijada",1901,N/A,N/A,N/A,"spa, ita, ger, eng, fre, und"
The Path of Daggers,Robert Jordan,1998,N/A,N/A,N/A,"chi, eng"
Babel-17,Samuel R. Delany,1966,N/A,N/A,N/A,"ger, eng, fre"
The White Mountains (The Tripods #1),Sam Youd,1967,N/A,N/A,N/A,"ger, spa, fre, eng, chi, und, ita"
The wood beyond the world,"William Morris, William Norris, William, Morris, William Morris, William William Morris, WILLIAM MORRIS, Random House",1894,N/A,N/A,N/A,eng
Star Maker,Olaf Stapledon,1937,N/A,N/A,N/A,eng
Knife of Dreams,Robert Jordan,2005,N/A,N/A,N/A,"dut, eng, pol, spa"
The Salmon of Doubt,Douglas Adams,1995,N/A,N/A,N/A,"ger, fre, eng"
Saving the World and Other Extreme Sports,"James Patterson, Valentina de Angelis",1998,N/A,N/A,N/A,eng
What's wrong with the world,Gilbert Keith Chesterton,1910,N/A,N/A,N/A,"eng, fre, cat"
Kindred,"Octavia E. Butler, SparkNotes Staff",1979,N/A,N/A,N/A,"eng, ita, ger, por"
The Difference Engine,"William Gibson, Bruce Sterling",1990,N/A,N/A,N/A,"ita, por, eng, spa, fre, und, ger"
Mona Lisa Overdrive,William Gibson,1987,N/A,N/A,N/A,"ita, rus, por, eng, spa, fre, dan, ger"
Count Zero,William Gibson,1986,N/A,N/A,N/A,"fre, ita, dut, por, spa, dan, ger, eng"
I Shall Wear Midnight,"Terry Pratchett, Stephen Briggs, Paul Kidby, Laura Ellen Andersen, Manuel Viciano Delibano",2010,N/A,N/A,N/A,"ger, eng, fre"
Making Money,Terry Pratchett,2007,N/A,N/A,N/A,"eng, pol, spa"
The Stepford Wives,Ira Levin,1972,N/A,N/A,N/A,"spa, fre, eng, slo"
The Year of the Flood,Margaret Atwood,2009,N/A,N/A,N/A,"fre, dut, ger, pol, eng"
Dragonsinger,Anne McCaffrey,1977,N/A,N/A,N/A,"fre, eng"
Last Exit to Brooklyn,"Hubert Selby, Jr., Hubert, JR. Selby",1964,N/A,N/A,N/A,"eng, ger, fre, rus, heb"
At Home,Bill Bryson,2010,N/A,N/A,N/A,"dut, eng, rus"
The Diamond Age,Neal Stephenson,1995,N/A,N/A,N/A,"eng, spa, fre, ger"
Witch & wizard,"James Patterson, Gabrielle Charbonnet",1999,N/A,N/A,N/A,"pol, eng, fre, spa, por"
Consider Phlebas,Iain Banks,1987,N/A,N/A,N/A,"ger, fre, spa, eng, kor, tur"
Leviathan Wakes,James S. A. Corey,2009,N/A,N/A,N/A,"eng, ita, fre, ger"
"Flow my tears, the policeman said",Philip K. Dick,1974,N/A,N/A,N/A,"ger, pol, fre, eng"
The Rowan,"Anne McCaffrey, Jean Reed Bahle",1990,N/A,N/A,N/A,"ita, fre, eng, ger"
The Glass Castle,Jeannette Walls,2005,N/A,N/A,N/A,"eng, ger, fre, spa, chi"
The Coming Race,"Edward Bulwer Lytton, Baron Lytton",1871,N/A,N/A,N/A,eng
The Fall of Hyperion,Dan Simmons,1990,N/A,N/A,N/A,"ita, fre, spa, pol, eng"
"For colored girls who have considered suicide, when the rainbow is enuf",Ntozake Shange,1975,N/A,N/A,N/A,eng
The Institute,Stephen King,2019,N/A,N/A,N/A,"spa, fre, eng, dut"
The years,Virginia Woolf,1937,N/A,N/A,N/A,"ger, ita, eng, jpn, dan, fre, hun, kor, spa, swe"
Nightfall,"Isaac Asimov, Robert Silverberg",1969,N/A,N/A,N/A,"eng, spa, fre, rus"
The Space Merchants,"Frederik Pohl, Cyril M. Kornbluth",1952,N/A,N/A,N/A,"ger, eng, tur"
Lord of Light,Roger Zelazny,1967,N/A,N/A,N/A,"ger, spa, eng, fre"
The Wind Through the Keyhole,Stephen King,1925,N/A,N/A,N/A,"dut, chi, eng"
The dark tower,Stephen King,1990,N/A,N/A,N/A,"ger, ita, eng, spa, chi, por"
Four,Veronica Roth,2001,N/A,N/A,N/A,eng
The Dragons of Eden,Carl Sagan,1977,N/A,N/A,N/A,"tur, fre, por, spa, heb, eng"
Gardens of the Moon,Steven Erikson,1999,N/A,N/A,N/A,"ger, eng, spa"
Hyperion,Dan Simmons,1989,N/A,N/A,N/A,"eng, ita, fre, spa, pol"
Friday,Robert A. Heinlein,1982,N/A,N/A,N/A,"fre, ger, eng"
Feed,M. T. Anderson,2002,N/A,N/A,N/A,"spa, fre, eng, por"
The Dark Forest (The Three-Body Problem Series Book 2),刘慈欣,2008,N/A,N/A,N/A,"tur, ger, fre, por, chi, spa, pol, ita, eng"
The Stars My Destination,Alfred Bester,1956,N/A,N/A,N/A,eng
Death's End (The Three-Body Problem Series Book 3),刘慈欣,2010,N/A,N/A,N/A,"spa, ger, eng, chi, fre"
Robots and Empire,Isaac Asimov,1985,N/A,N/A,N/A,"eng, rus, ita, spa, est, ger"
Revival,Stephen King,2014,N/A,N/A,N/A,"chi, fre, rus, spa, ger, eng"
Robot Dreams [21 short stories],Isaac Asimov,1986,N/A,N/A,N/A,"spa, ger, rus, fre, eng"
The Invasion,Katherine Applegate,1996,N/A,N/A,N/A,"eng, ger, fre, vie, spa"
Brave New World and Brave New World Revisited,Aldous Huxley,1942,N/A,N/A,N/A,"eng, spa"
Stand on Zanzibar,John Brunner,1968,N/A,N/A,N/A,eng
The One (The Selection #3),Kiera Cass,2012,N/A,N/A,N/A,"chi, eng, pol, spa, fre, kor"
Hillbilly Elegy,J. D. Vance,2016,N/A,N/A,N/A,"eng, ger, chi, spa"
Breakfast of Champions,Kurt Vonnegut,1973,N/A,N/A,N/A,"eng, rus, fre"
Aphrodite (ancient manners),"Pierre Louÿs, Jean-Paul Goujon, Prepared by Pierre Louys; Willis L. Parker, Georges Bess, Milo Manara",1848,N/A,N/A,N/A,"cat, urd, eng, spa, ger, chi, fre, rus, dut, jpn, arm"
Animal Farm / Nineteen Eighty-Four,George Orwell,1978,N/A,N/A,N/A,"spa, eng"
Tales of space and time,H. G. Wells,1899,N/A,N/A,N/A,eng
Burning Chrome,William Gibson,1986,N/A,N/A,N/A,"swe, rum, fre, dut, spa, dan, ger, eng"
"The Capture (Guardians of Ga'Hoole, Book 1)","Kathryn Lasky, Pamela Garelick",1987,N/A,N/A,N/A,"pol, eng, chi"
Gateway,Frederik Pohl,1977,N/A,N/A,N/A,"fre, eng, spa"
Pimp,"Iceberg Slim, Beck, Robert, Irvine Welsh",1967,N/A,N/A,N/A,"eng, fre"
A Fire upon the Deep,Vernor Vinge,1992,N/A,N/A,N/A,"heb, eng, fre"
Many Waters (Time Quintet #4),Madeleine L'Engle,1986,N/A,N/A,N/A,"spa, eng"
The Colorado Kid,Stephen King,1978,N/A,N/A,N/A,"ger, fre, eng, rus"
A Scanner Darkly,Philip K. Dick,1977,N/A,N/A,N/A,"ger, spa, fre, eng"
Watchmen,"Alan Moore, Dave Gibbons, John Higgins",1987,N/A,N/A,N/A,"eng, fre, spa, por"
Wool,"Hugh Howey, Hugh Howey",2011,N/A,N/A,N/A,"fre, chi, spa, ita, eng"
The Demolished Man,Alfred Bester,1951,N/A,N/A,N/A,eng
Star Wars - Thrawn Trilogy - Dark Force Rising,Timothy Zahn,1992,N/A,N/A,N/A,"spa, ger, eng, fre"
The Power,Naomi Alderman,1998,N/A,N/A,N/A,"ita, eng"
Tom Sawyer Abroad,Mark Twain,1894,N/A,N/A,N/A,"eng, fin"
The Throne of Fire,Rick Riordan,2011,N/A,N/A,N/A,"spa, vie, baq, eng"
Pattern Recognition,William Gibson,2002,N/A,N/A,N/A,"por, spa, fre, eng"
"Looking Backward, 2000-1887",Edward Bellamy,1888,N/A,N/A,N/A,eng
Shadow of the Hegemon,Orson Scott Card,2001,N/A,N/A,N/A,"pol, fre, eng, spa"
Z for Zachariah,Robert C. O'Brien,1975,N/A,N/A,N/A,"spa, und, eng"
A Dangerous Path,Erin Hunter,2004,N/A,N/A,N/A,"eng, pol"
The player of games,Iain Banks,1988,N/A,N/A,N/A,"fre, eng, ger"
Red Rising,Pierce Brown,2014,N/A,N/A,N/A,eng
Project Hail Mary,Andy Weir,2021,N/A,N/A,N/A,"ger, eng, fin"
The Testaments,Margaret Atwood,2019,N/A,N/A,N/A,"ita, eng, fre, spa, por"
Roadside Picnic,"Аркадий Натанович Стругацкий, Борис Натанович Стругацкий",1978,N/A,N/A,N/A,"fre, eng, spa, rus"
Klara and the Sun,Kazuo Ishiguro,2019,N/A,N/A,N/A,"por, tur, eng, fre"
A Voyage to Arcturus,"David Lindsay, David Lindsay",1920,N/A,N/A,N/A,eng
Cinder,Marissa Meyer,2011,N/A,N/A,N/A,"pol, eng, spa"
Valis,Philip K. Dick,1981,N/A,N/A,N/A,"spa, rus, eng, fre"
Parable of the sower,"Octavia E. Butler, Damian Duffy, John Jennings, Silvia Moreno",1993,N/A,N/A,N/A,"ger, eng, spa, fre"
Wishtree,Katherine Applegate,2014,N/A,N/A,N/A,"spa, eng, por"
Cress,"Marissa Meyer, Guillaume Fournier, Roxanna Erdman",2014,N/A,N/A,N/A,eng
Nine Princes in Amber,Roger Zelazny,1970,N/A,N/A,N/A,"fre, eng, heb"
Children of the Mind,Orson Scott Card,1996,N/A,N/A,N/A,"spa, fre, eng, rus"
A Swiftly Tilting Planet (Time Quintet #3),Madeleine L'Engle,1978,N/A,N/A,N/A,eng
Storm Front,Jim Butcher,1997,N/A,N/A,N/A,"eng, ger, chi"
The Man Who Fell to Earth,Walter S. Tevis,1963,N/A,N/A,N/A,"ger, eng"
The way we live now,Anthony Trollope,1875,N/A,N/A,N/A,eng
Welcome to the Monkey House,Kurt Vonnegut,1950,N/A,N/A,N/A,"chi, ger, eng"
The Death Cure,"James Dashner, James Dashner",2011,N/A,N/A,N/A,"spa, eng, chi"
Golden Son,Pierce Brown,2001,N/A,N/A,N/A,"spa, eng, pol, tur"
Seveneves,Neal Stephenson,2015,N/A,N/A,N/A,"ger, eng, spa"
Eon,"Greg Bear, Stefan Rudnicki",1985,N/A,N/A,N/A,"ita, fre, dut, ger, eng"
Dawn,"Octavia E. Butler, Aldrich Barrett",1987,N/A,N/A,N/A,"ger, eng"
"The Long Way to a Small, Angry Planet","Becky Chambers, Becky Chambers",2014,N/A,N/A,N/A,"eng, ger, fre, spa"
School's Out Forever,James Patterson,2006,N/A,N/A,N/A,eng
Star Wars Episode III - Revenge of the Sith,Matthew Woodring Stover,2005,N/A,N/A,N/A,"spa, eng, pol"
Ready Player Two,Ernest Cline,2019,N/A,N/A,N/A,"spa, ger, eng"
Methuselah's children,Robert A. Heinlein,1958,N/A,N/A,N/A,"ita, heb, fre, eng, ger, spa"
Tono-Bungay,H. G. Wells,1890,N/A,N/A,N/A,"und, cze, eng, rum"
The Sparrow,Mary Doria Russell,1996,N/A,N/A,N/A,eng
The Zombie Survival Guide,Max Brooks,2003,N/A,N/A,N/A,"chi, eng, ger, por, spa, fre"
3001,Arthur C. Clarke,1997,N/A,N/A,N/A,"fre, ita, ger, cat, eng, chi, spa"
The Maze Runner,James Dashner,2009,N/A,N/A,N/A,eng
Battle royale,"Kōshun Takami, Masayuki Taguchi, Koushun Takami, Kashoun Takami, KOUSHUM TAKAMI, Koushum Takami",1999,N/A,N/A,N/A,"jpn, ita, fre, eng"
At the Mountains of Madness,"H.P. Lovecraft, Enrique Breccia",1968,N/A,N/A,N/A,"spa, eng"
Anathem,Neal Stephenson,2008,N/A,N/A,N/A,"tur, ger, eng"
Before they are hanged,Joe Abercrombie,2007,N/A,N/A,N/A,"eng, spa, fre"
Crooked Kingdom,Leigh Bardugo,2016,N/A,N/A,N/A,"fre, eng, ita, ger"
Station Eleven,Emily St. John Mandel,2014,N/A,N/A,N/A,"fre, eng"
"Mister Monday (The Keys to the Kingdom, Book 1)",Garth Nix,2003,N/A,N/A,N/A,"dut, eng"
Darkness Comes,Dean Koontz,1984,N/A,N/A,N/A,"ger, rus, und, vie, fre, eng, spa"
Quicksilver,Neal Stephenson,2003,N/A,N/A,N/A,"ger, eng"
The City & The City,"China Miéville, China Miéville",2009,N/A,N/A,N/A,"fre, eng, ita"
Citizen of the Galaxy,Robert A. Heinlein,1957,N/A,N/A,N/A,"fre, rus, spa, und, eng"
Krew elfów,Andrzej Sapkowski,1994,N/A,N/A,N/A,"cze, eng, pol, spa, ger"
Legend,Marie Lu,2011,N/A,N/A,N/A,"eng, chi"
The Bachman Books (Long Walk / Rage / Roadwork / Running Man),Stephen King,1985,N/A,N/A,N/A,eng
The Hunger Games Trilogy (Hunger Games / Catching Fire / Mockingjay),"Suzanne Collins, Carolyn McCormick",2010,N/A,N/A,N/A,eng
Caliban's war,James S. A. Corey,2012,N/A,N/A,N/A,"ger, eng, fre, ita"
Steelheart,Brandon Sanderson,2001,N/A,N/A,N/A,"eng, spa"
Revelation Space,"Alastair Reynolds, John Lee",2000,N/A,N/A,N/A,"rus, eng"
My Teacher Is an Alien,Bruce Coville,1989,N/A,N/A,N/A,"eng, fre"
Parable of the Talents,Octavia E. Butler,1998,N/A,N/A,N/A,eng
Skyward,Brandon Sanderson,2018,N/A,N/A,N/A,"eng, fre"
The Science Fiction Hall of Fame -- Volume One,"Robert Silverberg, Robert A. Heinlein, Arthur C. Clarke, Isaac Asimov, Ray Bradbury",1970,N/A,N/A,N/A,eng
The Lake House,James Patterson,1662,N/A,N/A,N/A,"srp, fre, eng, ger"
Bumi Manusia,Pramoedya Ananta Toer,1972,N/A,N/A,N/A,"eng, dut, ind, spa"
Evicted,"Matthew Desmond, Enrique Maldonado Roldn",2016,N/A,N/A,N/A,"ger, chi, eng"
Prodigy,Marie Lu,2012,N/A,N/A,N/A,"fre, eng, chi"
Memnoch the Devil,Anne Rice,1995,N/A,N/A,N/A,"fre, rum, jpn, eng, ger, spa"
Dragons of Spring Dawning,"Margaret Weis, Tracy Hickman, Andrew Dabb, Paul Boehmer",1900,N/A,N/A,N/A,"pol, tur, eng, fre, spa"
The house in the Cerulean Sea,"T. J. Klune, Carlos Abreu Fetter",2019,N/A,N/A,N/A,"ger, spa, eng, pol"
Dark Matter,Blake Crouch,2016,N/A,N/A,N/A,"pol, eng"
The land of mist,Arthur Conan Doyle,1926,N/A,N/A,N/A,"eng, fre, spa"
Replay,Ken Grimwood,1986,N/A,N/A,N/A,"eng, fre, ger"
Aura,"Carlos Fuentes, Carlos Fuentes",1962,N/A,N/A,N/A,"eng, und, spa"
The Terminal Man,Michael Crichton,1972,N/A,N/A,N/A,"eng, ger, ita, fre, spa"
Son,Lois Lowry,2001,N/A,N/A,N/A,"fre, eng, pol"
Ceremony,"Leslie Silko, Silko, Leslie Marmon Silko",1977,N/A,N/A,N/A,"eng, fre"
The Lies of Locke Lamora,Scott Lynch,2001,N/A,N/A,N/A,"eng, rus, spa"
Scarlet,Marissa Meyer,2012,N/A,N/A,N/A,"eng, spa"
Excession,Iain Banks,1996,N/A,N/A,N/A,"eng, ger, fre, spa"
Stories of Your Life and Others,Ted Chiang,2002,N/A,N/A,N/A,eng
Perdido Street Station,China Miéville,2000,N/A,N/A,N/A,"spa, eng"
The knife of never letting go,"Patrick Ness, Nick Podehl",2008,N/A,N/A,N/A,eng
The Amityville Horror,Jay Anson,1977,N/A,N/A,N/A,"spa, eng, und"
The Complete Robot,Isaac Asimov,1982,N/A,N/A,N/A,"ita, ger, eng, chi"
